"processor","base_result","price","peak_result","cores","chips","enabled_threads _per_core","processor_mhz","parallelization","base_pointer_size","peak_pointer_size","1st_level_cache","2nd_level_cache","3rd_level_cache","test_date"
"AMD EPYC 7232P","54.9","589","0","8","1","2","3100","No","64-bit","Not Applicable","32 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","32 MB I+D on chip per chip, 8 MB shared / 2 cores","1/1/2020 00:00:00"
"AMD EPYC 7251","56.1","899","57","8","1","2","2100","No","64-bit","64-bit","64 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","32 MB I+D on chip per chip","1/3/2019 00:00:00"
"AMD EPYC 7252","115","689","122","16","2","2","3100","No","64-bit","32/64-bit","32 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","64 MB I+D on chip per chip, 16 MB shared / 2 cores","1/11/2019 00:00:00"
"AMD EPYC 7261","54.9","999","51.8","8","1","2","2500","No","64-bit","64-bit","64 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","64 MB I+D on chip per chip","1/5/2018 00:00:00"
"AMD EPYC 7262","81","1590","86.7","16","2","2","3200","Yes","64-bit","64-bit","32 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","128 MB I+D on chip per chip, 16 MB per core","1/9/2019 00:00:00"
"AMD EPYC 7281","93.5","1399","94.8","16","1","2","2100","No","64-bit","64-bit","64 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","32 MB I+D on chip per chip, 4 MB shared / 2 cores","1/3/2019 00:00:00"
"AMD EPYC 7282","106","1119","109","32","2","2","2800","Yes","64-bit","64-bit","32 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","64 MB I+D on chip per chip, 16 MB shared / 4 cores","1/2/2020 00:00:00"
"AMD EPYC 7301","158","1699","173","32","2","2","2200","No","64-bit","32/64-bit","64 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","64 MB I+D on chip per chip, 8 MB shared / 2 cores","1/8/2018 00:00:00"
"AMD EPYC 7302","143","2276","144","16","1","2","3000","No","64-bit","64-bit","32 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","128 MB I+D on chip per chip, 16 MB shared / 2 cores","1/9/2019 00:00:00"
"AMD EPYC 7302P","117","2276","123","16","1","2","3000","No","64-bit","32/64-bit","32 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","128 MB I+D on chip per chip, 16 MB shared / 2 cores","1/8/2019 00:00:00"
"AMD EPYC 7351","167","1549","178","32","2","2","2400","No","64-bit","32/64-bit","64 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","64 MB I+D on chip per chip, 8 MB shared / 2 cores","1/4/2018 00:00:00"
"AMD EPYC 7351P","90.5","1549","0","16","1","2","2400","No","64-bit","Not Applicable","64 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","64 MB I+D on chip per chip, 8 MB shared / 2 cores","1/6/2018 00:00:00"
"AMD EPYC 7352","166","3561","167","24","1","2","2300","No","64-bit","64-bit","32 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","128 MB I+D on chip per chip, 16 MB shared / 3 cores","1/3/2020 00:00:00"
"AMD EPYC 7401","222","3499","0","48","2","2","2000","No","64-bit","Not Applicable","64 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","64 MB I+D on chip per chip, 8 MB shared / 3 cores","1/11/2017 00:00:00"
"AMD EPYC 7401P","111","2299","121","24","1","2","2000","No","64-bit","32/64-bit","64 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","64 MB I+D on chip per chip, 8 MB shared / 3 cores","1/12/2017 00:00:00"
"AMD EPYC 7402","326","3299","341","48","2","2","2800","No","64-bit","64-bit","32 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","128 MB I+D on chip per chip, 16 MB shared / 3 cores","1/9/2020 00:00:00"
"AMD EPYC 7402P","163","3299","172","24","1","2","2800","No","64-bit","64-bit","32 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","128 MB I+D on chip per chip, 16 MB shared / 3 cores","1/8/2019 00:00:00"
"AMD EPYC 7451","128","4599","134","24","1","2","2300","No","64-bit","32/64-bit","64 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","64 MB I+D on chip per chip, 8 MB shared / 3 cores","1/3/2019 00:00:00"
"AMD EPYC 7452","182","5336","0","32","1","2","2350","No","64-bit","Not Applicable","32 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","128 MB I+D on chip per chip, 16 MB shared / 4 cores","1/4/2020 00:00:00"
"AMD EPYC 7501","256","6499","0","64","2","2","2000","No","64-bit","Not Applicable","64 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","64 MB I+D on chip per chip, 8 MB shared / 4 cores","1/6/2018 00:00:00"
"AMD EPYC 7502","208","6059","223","32","1","2","2500","No","64-bit","32/64-bit","32 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","128 MB I+D on chip per chip, 16 MB shared / 4 cores","1/7/2020 00:00:00"
"AMD EPYC 7502P","175","6059","192","32","1","2","2500","No","64-bit","64-bit","32 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","128 MB I+D on chip per chip, 16 MB shared / 4 cores","1/9/2019 00:00:00"
"AMD EPYC 7532","216","5199","219","32","1","2","2400","No","64-bit","64-bit","32 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","256 MB I+D on chip per chip, 16 MB shared / 2 cores","1/11/2019 00:00:00"
"AMD EPYC 7542","184","8950","185","32","1","2","2900","No","64-bit","64-bit","32 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","128 MB I+D on chip per chip, 16 MB shared / 4 cores","1/2/2020 00:00:00"
"AMD EPYC 7551","259","4299","268","64","2","2","2000","No","64-bit","64-bit","64 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","64 MB I+D on chip per chip, 8 MB shared / 4 cores","1/9/2018 00:00:00"
"AMD EPYC 7551P","130","4299","135","32","1","2","2000","No","64-bit","64-bit","64 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","64 MB I+D on chip per chip, 8 MB shared / 4 cores","1/12/2018 00:00:00"
"AMD EPYC 7552","216","6479","235","48","1","2","2200","No","64-bit","64-bit","32 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","192 MB I+D on chip per chip, 16 MB shared / 4 cores","1/10/2019 00:00:00"
"AMD EPYC 7601","260","7299","274","64","2","2","2200","No","64-bit","32/64-bit","64 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","64 MB I+D on chip per chip, 8 MB shared / 4 cores","1/12/2017 00:00:00"
"AMD EPYC 7642","212","8799","244","48","1","2","2300","No","64-bit","64-bit","32 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","256 MB I+D on chip per chip, 16 MB shared / 3 cores","1/10/2019 00:00:00"
"AMD EPYC 7662","251","11399","251","64","1","2","2000","No","64-bit","64-bit","32 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","256 MB I+D on chip per chip, 16 MB shared / 4 cores","1/7/2020 00:00:00"
"AMD EPYC 7702","484","11644","529","128","2","2","2000","No","64-bit","64-bit","32 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","256 MB I+D on chip per chip, 16 MB shared / 4 cores","1/1/2020 00:00:00"
"AMD EPYC 7702P","236","11644","237","64","1","2","2000","No","64-bit","64-bit","32 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","256 MB I+D on chip per chip, 16 MB shared / 4 cores","1/2/2020 00:00:00"
"AMD EPYC 7742","264","18281","0","64","1","2","2250","No","64-bit","Not Applicable","32 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","256 MB I+D on chip per chip, 16 MB shared / 4 cores","1/11/2019 00:00:00"
"AMD EPYC 7F32","91.5","3869","91.7","16","2","1","3700","Yes","64-bit","64-bit","32 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","128 MB I+D on chip per chip, 16 MB per core","1/4/2020 00:00:00"
"AMD EPYC 7F52","143","5699","148","32","2","2","3500","Yes","64-bit","64-bit","32 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","256 MB I+D on chip per chip, 16 MB per core","1/7/2020 00:00:00"
"AMD EPYC 7F72","175","6629","190","24","1","2","3200","No","64-bit","32/64-bit","32 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","192 MB I+D on chip per chip, 16 MB shared / 2 cores","1/1/2020 00:00:00"
"AMD EPYC 7H12","341","13399","370","64","1","2","2600","No","64-bit","32/64-bit","32 KB I + 32 KB D on chip per core","512 KB I+D on chip per core","256 MB I+D on chip per chip, 16 MB shared / 4 cores","1/9/2021 00:00:00"
"Intel Celeron G4900","8.73","110","9.37","2","1","1","3100","No","64-bit","32/64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","2 MB I+D on chip per chip","1/11/2018 00:00:00"
"Intel Celeron G4930","8.87","130","9.51","2","1","1","3200","No","64-bit","32/64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","2 MB I+D on chip per chip","1/1/2020 00:00:00"
"Intel Core i3-7100","15","110","15.9","2","1","2","3900","No","64-bit","32/64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","3 MB I+D on chip per chip","1/11/2018 00:00:00"
"Intel Core i3-8100","21.7","110","21.9","4","1","1","3600","Yes","64-bit","64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","6 MB I+D on chip per chip","1/1/2019 00:00:00"
"Intel Core i3-8100T","20.8","110","21.4","4","1","1","3100","No","64-bit","32/64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","6 MB I+D on chip per chip","1/9/2019 00:00:00"
"Intel Core i3-8300","22.5","145","23.9","4","1","1","3700","No","64-bit","32/64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","8 MB I+D on chip per chip","1/11/2018 00:00:00"
"Intel Core i3-8300T","21.7","145","22.3","4","1","1","3200","No","64-bit","32/64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","8 MB I+D on chip per chip","1/9/2019 00:00:00"
"Intel Core i3-9100","24.5","138","24.8","4","1","1","3600","Yes","64-bit","64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","6 MB I+D on chip per chip","1/12/2019 00:00:00"
"Intel Core i3-9300","25.2","173","25.5","4","1","1","3700","Yes","64-bit","64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","8 MB I+D on chip per chip","1/11/2019 00:00:00"
"Intel Core i5-8600T","25.7","245","26","6","1","1","2300","Yes","64-bit","64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","9 MB I+D on chip per chip","1/11/2018 00:00:00"
"Intel Core i5-9600K","28.5","326","28.9","6","1","1","3700","Yes","64-bit","64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","9 MB I+D on chip per chip","1/1/2019 00:00:00"
"Intel Core i7-6700K","23.5","450","0","4","1","2","4000","No","64-bit","Not Applicable","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","8 MB I+D on chip per chip","1/12/2016 00:00:00"
"Intel Core i7-9700K","32.2","511","32.6","8","1","1","3600","Yes","64-bit","64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","12 MB I+D on chip per chip","1/1/2019 00:00:00"
"Intel Core i9-9900K","33.2","619","33.5","8","1","1","3600","Yes","64-bit","64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","16 MB I+D on chip per chip","1/12/2018 00:00:00"
"Intel Pentium G4400","8.8","30","0","2","1","1","3300","No","64-bit","Not Applicable","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","3 MB I+D on chip per chip","1/5/2020 00:00:00"
"Intel Pentium G4560","11.8","30","12.7","2","1","2","3500","No","64-bit","32/64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","3 MB I+D on chip per chip","1/12/2018 00:00:00"
"Intel Pentium Gold G5400","12.7","30","13.6","2","1","2","3700","No","64-bit","32/64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","4 MB I+D on chip per chip","1/11/2018 00:00:00"
"Intel Pentium Gold G5400T","11","30","11.8","2","1","2","3100","No","64-bit","32/64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","4 MB I+D on chip per chip","1/4/2019 00:00:00"
"Intel Pentium Gold G5420","13","170","13.9","2","1","2","3800","No","64-bit","32/64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","4 MB I+D on chip per chip","1/1/2020 00:00:00"
"Intel Pentium Gold G5500","13","40","14","2","1","2","3800","No","64-bit","32/64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","4 MB I+D on chip per chip","1/4/2019 00:00:00"
"Intel Pentium Gold G5500T","11.3","40","12.2","2","1","2","3200","No","64-bit","32/64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","4 MB I+D on chip per chip","1/4/2019 00:00:00"
"Intel Pentium Gold G5600","13.2","40","14.3","2","1","2","3900","No","64-bit","32/64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","4 MB I+D on chip per chip","1/4/2019 00:00:00"
"Intel Xeon Bronze 3104","33.7","439","0","12","2","1","1700","No","64-bit","Not Applicable","32 KB I + 32 KB D on chip per core","1 MB I+D on chip per core","8.25 MB I+D on chip per chip","1/4/2018 00:00:00"
"Intel Xeon Bronze 3106","45","599","46.8","16","2","1","1700","No","64-bit","32/64-bit","32 KB I + 32 KB D on chip per core","1 MB I+D on chip per core","11 MB I+D on chip per chip","1/3/2018 00:00:00"
"Intel Xeon Bronze 3204","40.7","439","41.6","12","2","1","1900","No","64-bit","32/64-bit","32 KB I + 32 KB D on chip per core","1 MB I+D on chip per core","8.25 MB I+D on chip per chip","1/9/2019 00:00:00"
"Intel Xeon Bronze 3206R","57.4","649","58","16","2","1","1900","Yes","64-bit","64-bit","32 KB I + 32 KB D on chip per core","1 MB I+D on chip per core","11 MB I+D on chip per chip","1/2/2020 00:00:00"
"Intel Xeon E-2124","23.9","238","0","4","1","1","3300","Yes","64-bit","Not Applicable","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","8 MB I+D on chip per chip","1/11/2018 00:00:00"
"Intel Xeon E-2124G","24.7","238","0","4","1","1","3400","No","64-bit","Not Applicable","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","8 MB I+D on chip per chip","1/12/2018 00:00:00"
"Intel Xeon E-2126G","32.4","480","32.8","6","1","1","3300","Yes","64-bit","64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","12 MB I+D on chip per chip","1/7/2019 00:00:00"
"Intel Xeon E-2134","27.9","480","28.2","4","1","2","3500","Yes","64-bit","64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","8 MB I+D on chip per chip","1/7/2019 00:00:00"
"Intel Xeon E-2136","32.7","570","33.1","6","1","2","3300","Yes","64-bit","64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","12 MB I+D on chip per chip","1/7/2019 00:00:00"
"Intel Xeon E-2144G","28.1","510","28.5","4","1","2","3600","Yes","64-bit","64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","8 MB I+D on chip per chip","1/8/2019 00:00:00"
"Intel Xeon E-2146G","36.2","570","35","6","1","2","3500","No","64-bit","64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","12 MB I+D on chip per chip","1/12/2018 00:00:00"
"Intel Xeon E-2174G","29.3","398","31.5","4","1","2","3800","No","64-bit","32/64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","8 MB I+D on chip per chip","1/11/2018 00:00:00"
"Intel Xeon E-2176G","32.7","710","33","6","1","2","3700","Yes","64-bit","64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","12 MB I+D on chip per chip","1/8/2019 00:00:00"
"Intel Xeon E-2186G","32.7","950","33","6","1","2","3800","Yes","64-bit","64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","12 MB I+D on chip per chip","1/12/2018 00:00:00"
"Intel Xeon E-2224","27.1","390","27.4","4","1","1","3400","Yes","64-bit","64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","8 MB I+D on chip per chip","1/6/2020 00:00:00"
"Intel Xeon E-2224G","28.4","239","29.3","4","1","1","3500","No","64-bit","32/64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","8 MB I+D on chip per chip","1/11/2019 00:00:00"
"Intel Xeon E-2226G","36.1","480","37","6","1","1","3400","No","64-bit","64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","12 MB I+D on chip per chip","1/12/2019 00:00:00"
"Intel Xeon E-2234","31.7","480","32.3","4","1","1","3600","No","64-bit","64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","8 MB I+D on chip per chip","1/1/2020 00:00:00"
"Intel Xeon E-2236","36.4","570","38.6","12","1","1","3400","No","64-bit","64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","12 MB I+D on chip per chip","1/11/2019 00:00:00"
"Intel Xeon E-2244G","31.3","510","32.9","8","1","1","3800","No","64-bit","64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","8 MB I+D on chip per chip","1/11/2019 00:00:00"
"Intel Xeon E-2246G","36.1","372","38.3","12","1","1","3600","No","64-bit","64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","12 MB I+D on chip per chip","1/11/2019 00:00:00"
"Intel Xeon E-2274G","31.9","590","33.4","8","1","1","4000","No","64-bit","64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","8 MB I+D on chip per chip","1/11/2019 00:00:00"
"Intel Xeon E-2276G","36.9","710","39.2","12","1","1","3800","No","64-bit","64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","12 MB I+D on chip per chip","1/11/2019 00:00:00"
"Intel Xeon E-2278G","40.8","910","44.1","16","1","1","3400","No","64-bit","64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","16 MB I+D on chip per chip","1/11/2019 00:00:00"
"Intel Xeon E-2286G","37.3","950","40","6","1","2","4000","No","64-bit","64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","12 MB I+D on chip per chip","1/3/2020 00:00:00"
"Intel Xeon E-2288G","38.2","1050","38.8","8","1","1","3700","Yes","64-bit","64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","16 MB I+D on chip per chip","1/10/2019 00:00:00"
"Intel Xeon E3-1220 v6","20.9","369","22.1","4","1","1","3000","No","64-bit","32/64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","8 MB I+D on chip per chip","1/11/2018 00:00:00"
"Intel Xeon E3-1225 v6","21.8","399","22.1","4","1","1","3300","Yes","64-bit","64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","8 MB I+D on chip per chip","1/10/2018 00:00:00"
"Intel Xeon E3-1230 v6","27.3","449","29.1","4","1","2","3500","No","64-bit","32/64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","8 MB I+D on chip per chip","1/11/2018 00:00:00"
"Intel Xeon E3-1240 v6","28.5","489","30.5","4","1","2","3700","No","64-bit","32/64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","8 MB I+D on chip per chip","1/12/2018 00:00:00"
"Intel Xeon E3-1240L v5","18.9","489","19.2","4","1","1","2100","Yes","64-bit","64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","8 MB I+D on chip per chip","1/10/2018 00:00:00"
"Intel Xeon E3-1260L v5","21","519","21.2","4","1","1","2900","Yes","64-bit","64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","8 MB I+D on chip per chip","1/11/2018 00:00:00"
"Intel Xeon E3-1270 v6","28.9","579","30.9","4","1","2","3800","No","64-bit","32/64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","8 MB I+D on chip per chip","1/11/2018 00:00:00"
"Intel Xeon E3-1275 v6","22.3","470","22.5","4","1","1","3800","Yes","64-bit","64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","8 MB I+D on chip per chip","1/10/2018 00:00:00"
"Intel Xeon E3-1280 v6","29","1079","31","4","1","2","3900","No","64-bit","32/64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","8 MB I+D on chip per chip","1/12/2018 00:00:00"
"Intel Xeon E5-2609 v4","43.6","515","45.7","16","2","1","1700","No","64-bit","32/64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","20 MB I+D on chip per chip","1/2/2018 00:00:00"
"Intel Xeon E5-2620 v4","65.2","699","0","16","2","2","2100","No","64-bit","Not Applicable","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","20 MB I+D on chip per chip","1/8/2018 00:00:00"
"Intel Xeon E5-2650 v4","104","1869","0","24","2","2","2200","No","64-bit","Not Applicable","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","30 MB I+D on chip per chip","1/2/2018 00:00:00"
"Intel Xeon E5-2698 v4","133","4999","133","40","2","2","2200","No","32/64-bit","Not Applicable","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","50 MB I+D on chip per chip","1/12/2016 00:00:00"
"Intel Xeon E5-2699 v4","5.8","6399","6.43","44","2","1","2200","No","64-bit","32/64-bit","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","55 MB I+D on chip per chip","1/12/2016 00:00:00"
"Intel Xeon E5-2699A v4","149","8029","0","44","2","2","2400","No","32/64-bit","Not Applicable","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","55 MB I+D on chip per chip","1/12/2016 00:00:00"
"Intel Xeon E7-4850 v4","437","8598","0","128","8","2","2100","No","64-bit","Not Applicable","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","40 MB I+D on chip per chip","1/5/2018 00:00:00"
"Intel Xeon E7-8890 v4","548","21158","0","192","8","2","2200","No","64-bit","Not Applicable","32 KB I + 32 KB D on chip per core","256 KB I+D on chip per core","60 MB I+D on chip per chip","1/5/2018 00:00:00"
"Intel Xeon Gold 5115","102","1979","0","20","2","2","2400","No","64-bit","32/64-bit","32 KB I + 32 KB D on chip per core","1 MB I+D on chip per core","13.75 MB I+D on chip per chip","1/11/2017 00:00:00"
"Intel Xeon Gold 5117","119","1739","124","28","2","2","2000","No","64-bit","32/64-bit","32 KB I + 32 KB D on chip per core","1 MB I+D on chip per core","19.25 MB I+D on chip per chip","1/6/2019 00:00:00"
"Intel Xeon Gold 5118","119","1979","121","48","4","1","2300","Yes","64-bit","64-bit","32 KB I + 32 KB D on chip per core","1 MB I+D on chip per core","16.5 MB I+D on chip per chip","1/7/2018 00:00:00"
"Intel Xeon Gold 5120","134","2434","0","28","2","2","2200","No","64-bit","Not Applicable","32 KB I + 32 KB D on chip per core","1 MB I+D on chip per core","19.25 MB I+D on chip per chip","1/10/2017 00:00:00"
"Intel Xeon Gold 5120T","123","2739","123","56","4","1","2200","Yes","64-bit","64-bit","32 KB I + 32 KB D on chip per core","1 MB I+D on chip per core","19.25 MB I+D on chip per chip","1/10/2017 00:00:00"
"Intel Xeon Gold 5122","55.9","1959","0","8","2","1","3600","Yes","64-bit","Not Applicable","32 KB I + 32 KB D on chip per core","1 MB I+D on chip per core","16.5 MB I+D on chip per chip","1/1/2019 00:00:00"
"Intel Xeon Gold 5215","119","1979","0","20","2","2","2500","No","64-bit","Not Applicable","32 KB I + 32 KB D on chip per core","1 MB I+D on chip per core","13.75 MB I+D on chip per chip","1/8/2019 00:00:00"
"Intel Xeon Gold 5215L","118","10789","0","20","2","2","2500","No","64-bit","Not Applicable","32 KB I + 32 KB D on chip per core","1 MB I+D on chip per core","13.75 MB I+D on chip per chip","1/4/2019 00:00:00"
"Intel Xeon Gold 5215M","119","5359","0","20","2","2","2500","No","64-bit","Not Applicable","32 KB I + 32 KB D on chip per core","1 MB I+D on chip per core","13.75 MB I+D on chip per chip","1/8/2019 00:00:00"
"Intel Xeon Gold 5217","108","2479","112","16","2","2","3000","No","64-bit","32/64-bit","32 KB I + 32 KB D on chip per core","1 MB I+D on chip per core","11 MB I+D on chip per chip","1/3/2019 00:00:00"
"Intel Xeon Gold 5218","177","2099","184","32","2","2","2300","No","64-bit","32/64-bit","32 KB I + 32 KB D on chip per core","1 MB I+D on chip per core","22 MB I+D on chip per chip","1/5/2019 00:00:00"
